year,planning_area_clean,subzone_clean,model,forecast_children_18m_to_6
2030,BEDOK,KAKI BUKIT,Linear,0.0
2026,BEDOK,KAKI BUKIT,Prophet,871.3256145728558
2027,BEDOK,KAKI BUKIT,Prophet,649.1136462145549
2028,BEDOK,KAKI BUKIT,Prophet,426.2928779429427
2029,BEDOK,KAKI BUKIT,Prophet,204.0809095846427
2030,BEDOK,KAKI BUKIT,Prophet,0.0
2026,BEDOK,KEMBANGAN,Linear,708.0
2027,BEDOK,KEMBANGAN,Linear,421.63636363635305
2028,BEDOK,KEMBANGAN,Linear,135.2727272727061
2029,BEDOK,KEMBANGAN,Linear,0.0
2030,BEDOK,KEMBANGAN,Linear,0.0
2026,BEDOK,KEMBANGAN,Prophet,1231.336863387944
2027,BEDOK,KEMBANGAN,Prophet,1048.383304506857
2028,BEDOK,KEMBANGAN,Prophet,864.9285029986967
2029,BEDOK,KEMBANGAN,Prophet,681.9749441176097
2030,BEDOK,KEMBANGAN,Prophet,499.02138523652206
2026,BEDOK,SIGLAP,Linear,154.0
2027,BEDOK,SIGLAP,Linear,118.6363636363676
2028,BEDOK,SIGLAP,Linear,83.27272727272066
2029,BEDOK,SIGLAP,Linear,47.90909090908826
2030,BEDOK,SIGLAP,Linear,12.545454545455868
2026,BEDOK,SIGLAP,Prophet,184.69497692329338
2027,BEDOK,SIGLAP,Prophet,155.48352530858202
2028,BEDOK,SIGLAP,Prophet,126.19204231958356
2029,BEDOK,SIGLAP,Prophet,96.98059070487218
2030,BEDOK,SIGLAP,Prophet,67.7691390901608
2026,BISHAN,BISHAN EAST,Linear,519.0
2027,BISHAN,BISHAN EAST,Linear,316.2727272727061
2028,BISHAN,BISHAN EAST,Linear,113.54545454547042
2029,BISHAN,BISHAN EAST,Linear,0.0
2030,BISHAN,BISHAN EAST,Linear,0.0
2026,BISHAN,BISHAN EAST,Prophet,776.1516088154108
2027,BISHAN,BISHAN EAST,Prophet,619.8043191226642
2028,BISHAN,BISHAN EAST,Prophet,463.0286806910324
2029,BISHAN,BISHAN EAST,Prophet,306.6813909982858
2030,BISHAN,BISHAN EAST,Prophet,150.33410130553918
2026,BISHAN,MARYMOUNT,Linear,534.6666666667443
2027,BISHAN,MARYMOUNT,Linear,271.06060606066603
2028,BISHAN,MARYMOUNT,Linear,7.454545454587787
2029,BISHAN,MARYMOUNT,Linear,0.0
2030,BISHAN,MARYMOUNT,Linear,0.0
2026,BISHAN,MARYMOUNT,Prophet,1168.8668878499511
2027,BISHAN,MARYMOUNT,Prophet,1030.1639875276157
2028,BISHAN,MARYMOUNT,Prophet,891.0810792591905
2029,BISHAN,MARYMOUNT,Prophet,752.3781789368551
2030,BISHAN,MARYMOUNT,Prophet,613.6752786145191
2026,BISHAN,UPPER THOMSON,Linear,1042.6666666666279
2027,BISHAN,UPPER THOMSON,Linear,891.2424242424313
2028,BISHAN,UPPER THOMSON,Linear,739.8181818181765
2029,BISHAN,UPPER THOMSON,Linear,588.3939393939218
2030,BISHAN,UPPER THOMSON,Linear,436.969696969667
2026,BISHAN,UPPER THOMSON,Prophet,1313.1336567692383
2027,BISHAN,UPPER THOMSON,Prophet,1210.6389172501274
2028,BISHAN,UPPER THOMSON,Prophet,1107.863370225485
2029,BISHAN,UPPER THOMSON,Prophet,1005.3686307063741
2030,BISHAN,UPPER THOMSON,Prophet,902.8738911872638
2026,BOON LAY,LIU FANG,Linear,0.0
2027,BOON LAY,LIU FANG,Linear,0.0
2028,BOON LAY,LIU FANG,Linear,0.0
