planning_area_clean,subzone_clean,num_centres,estimated_capacity,supply_scenario
WOODLANDS,GREENWOOD PARK,1,100,base_preschool
WOODLANDS,MIDVIEW,16,1600,base_preschool
WOODLANDS,NORTH COAST,2,200,base_preschool
WOODLANDS,WOODGROVE,13,1300,base_preschool
WOODLANDS,WOODLANDS EAST,40,4000,base_preschool
WOODLANDS,WOODLANDS REGIONAL CENTRE,3,400,base_preschool
WOODLANDS,WOODLANDS SOUTH,10,1100,base_preschool
WOODLANDS,WOODLANDS WEST,8,800,base_preschool
YISHUN,KHATIB,3,300,base_preschool
YISHUN,LOWER SELETAR,6,600,base_preschool
YISHUN,NORTHLAND,16,1600,base_preschool
YISHUN,SPRINGLEAF,2,200,base_preschool
YISHUN,YISHUN CENTRAL,6,600,base_preschool
YISHUN,YISHUN EAST,26,2700,base_preschool
YISHUN,YISHUN SOUTH,13,1300,base_preschool
YISHUN,YISHUN WEST,13,1300,base_preschool
