year,planning_area_clean,subzone_clean,model,forecast_children_18m_to_6,bto_units_effective,bto_demand_addition,forecast_demand_children
2026,CLEMENTI,CLEMENTI NORTH,XGBoost,1476.5985107421875,0.0,0.0,1476.5985107421875
2026,CLEMENTI,CLEMENTI WEST,XGBoost,390.4976806640625,0.0,0.0,390.4976806640625
2026,CLEMENTI,CLEMENTI WOODS,XGBoost,938.2496948242188,0.0,0.0,938.2496948242188
2026,CLEMENTI,FABER,XGBoost,645.5872802734375,0.0,0.0,645.5872802734375
2026,CLEMENTI,PANDAN,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,CLEMENTI,SUNSET WAY,XGBoost,215.17160034179688,0.0,0.0,215.17160034179688
2026,CLEMENTI,TOH TUCK,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,CLEMENTI,WEST COAST,XGBoost,608.6749877929688,0.0,0.0,608.6749877929688
2026,DOWNTOWN CORE,ANSON,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,DOWNTOWN CORE,BAYFRONT SUBZONE,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,DOWNTOWN CORE,BUGIS,XGBoost,4.590802192687988,0.0,0.0,4.590802192687988
2026,DOWNTOWN CORE,CECIL,XGBoost,3.7897214889526367,0.0,0.0,3.7897214889526367
2026,DOWNTOWN CORE,CENTRAL SUBZONE,XGBoost,55.4068489074707,0.0,0.0,55.4068489074707
2026,DOWNTOWN CORE,CITY HALL,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,DOWNTOWN CORE,CLIFFORD PIER,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,DOWNTOWN CORE,MARINA CENTRE,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,DOWNTOWN CORE,MAXWELL,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,DOWNTOWN CORE,NICOLL,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,DOWNTOWN CORE,PHILLIP,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,DOWNTOWN CORE,RAFFLES PLACE,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,DOWNTOWN CORE,TANJONG PAGAR,XGBoost,20.38593292236328,0.0,0.0,20.38593292236328
2026,GEYLANG,ALJUNIED,XGBoost,1891.2451171875,140.33333333333334,16.84,1891.2451171875
2026,GEYLANG,GEYLANG EAST,XGBoost,1476.91357421875,0.0,0.0,1476.91357421875
2026,GEYLANG,KALLANG WAY,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,GEYLANG,KAMPONG UBI,XGBoost,777.8303833007812,0.0,0.0,777.8303833007812
2026,GEYLANG,MACPHERSON,XGBoost,909.838623046875,0.0,0.0,909.838623046875
2026,HOUGANG,DEFU INDUSTRIAL PARK,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,HOUGANG,HOUGANG CENTRAL,XGBoost,163.42111206054688,0.0,0.0,163.42111206054688
2026,HOUGANG,HOUGANG EAST,XGBoost,1066.712890625,0.0,0.0,1066.712890625
2026,HOUGANG,HOUGANG WEST,XGBoost,1388.29931640625,0.0,0.0,1388.29931640625
2026,HOUGANG,KANGKAR,XGBoost,1648.18701171875,0.0,0.0,1648.18701171875
2026,HOUGANG,KOVAN,XGBoost,1202.260986328125,0.0,0.0,1202.260986328125
2026,HOUGANG,LORONG AH SOO,XGBoost,965.5159912109375,0.0,0.0,965.5159912109375
2026,HOUGANG,LORONG HALUS,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,HOUGANG,TAI SENG,XGBoost,581.99560546875,379.6666666666667,45.56,581.99560546875
2026,HOUGANG,TRAFALGAR,XGBoost,2052.25048828125,0.0,0.0,2052.25048828125
2026,JURONG EAST,INTERNATIONAL BUSINESS PARK,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,JURONG EAST,JURONG GATEWAY,XGBoost,4.814105987548828,0.0,0.0,4.814105987548828
2026,JURONG EAST,JURONG PORT,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,JURONG EAST,JURONG RIVER,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,JURONG EAST,LAKESIDE BUSINESS,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,JURONG EAST,LAKESIDE LEISURE,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,JURONG EAST,PENJURU CRESCENT,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,JURONG EAST,TEBAN GARDENS,XGBoost,556.1917724609375,0.0,0.0,556.1917724609375
2026,JURONG EAST,TOH GUAN,XGBoost,445.1681213378906,0.0,0.0,445.1681213378906
2026,JURONG EAST,YUHUA EAST,XGBoost,622.9327392578125,0.0,0.0,622.9327392578125
2026,JURONG EAST,YUHUA WEST,XGBoost,570.277099609375,0.0,0.0,570.277099609375
2026,JURONG WEST,BOON LAY PLACE,XGBoost,1428.99853515625,0.0,0.0,1428.99853515625
2026,JURONG WEST,CHIN BEE,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,JURONG WEST,HONG KAH,XGBoost,1658.1683349609375,0.0,0.0,1658.1683349609375
2026,JURONG WEST,JURONG WEST CENTRAL,XGBoost,2061.93212890625,0.0,0.0,2061.93212890625
2026,JURONG WEST,KIAN TECK,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,JURONG WEST,SAFTI,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,JURONG WEST,TAMAN JURONG,XGBoost,1623.7252197265625,0.0,0.0,1623.7252197265625
2026,JURONG WEST,WENYA,XGBoost,377.64190673828125,0.0,0.0,377.64190673828125
2026,JURONG WEST,YUNNAN,XGBoost,2085.528564453125,73.66666666666667,8.84,2085.528564453125
2026,KALLANG,BENDEMEER,XGBoost,1674.7816162109375,342.33333333333337,41.08,1674.7816162109375
2026,KALLANG,BOON KENG,XGBoost,463.03857421875,0.0,0.0,463.03857421875
2026,KALLANG,CRAWFORD,XGBoost,163.42111206054688,0.0,0.0,163.42111206054688
2026,KALLANG,GEYLANG BAHRU,XGBoost,220.29867553710938,0.0,0.0,220.29867553710938
2026,KALLANG,KALLANG BAHRU,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,KALLANG,KAMPONG BUGIS,XGBoost,142.47813415527344,0.0,0.0,142.47813415527344
2026,KALLANG,KAMPONG JAVA,XGBoost,360.2945861816406,0.0,0.0,360.2945861816406
2026,KALLANG,LAVENDER,XGBoost,391.81744384765625,0.0,0.0,391.81744384765625
2026,KALLANG,TANJONG RHU,XGBoost,385.5081481933594,0.0,0.0,385.5081481933594
2026,LIM CHU KANG,LIM CHU KANG,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,MANDAI,MANDAI EAST,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,MANDAI,MANDAI ESTATE,XGBoost,87.24486541748047,0.0,0.0,87.24486541748047
2026,MANDAI,MANDAI WEST,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,MARINA EAST,MARINA EAST,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
2026,MARINA SOUTH,MARINA SOUTH,XGBoost,1.3778321743011475,0.0,0.0,1.3778321743011475
